,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
9161,South Melbourne,248 Montague St,3,h,1650000,VB,Marshall,17/09/2016,2.1,3205,3,2,0,204,195,1890,Port Phillip,-37.8357,144.9531,Southern Metropolitan,5943
9166,South Melbourne,296 Albert Rd,3,h,1825000,S,Marshall,18/06/2016,2.1,3205,3,2,2,151,153,1900,Port Phillip,-37.8383,144.9632,Southern Metropolitan,5943
9167,South Melbourne,48 Glover St,2,h,1200000,VB,Greg,18/06/2016,2.1,3205,2,2,1,131,79,1890,Port Phillip,-37.839,144.948,Southern Metropolitan,5943
9172,South Melbourne,46 Cobden St,3,h,1390000,PI,Greg,22/05/2016,2.1,3205,3,2,1,138,138,1998,Port Phillip,-37.8351,144.9675,Southern Metropolitan,5943
9173,South Melbourne,18a Iffla St,4,h,1615000,S,Marshall,22/05/2016,2.1,3205,4,3,2,577,220,2009,Port Phillip,-37.8357,144.9502,Southern Metropolitan,5943
9182,South Melbourne,164 Cecil St,3,h,2075000,S,Marshall,27/11/2016,2.1,3205,3,2,0,141,163,1890,Port Phillip,-37.8333,144.9576,Southern Metropolitan,5943
9229,South Yarra,12 Witchwood Cl,3,t,1460000,PI,hockingstuart,4/6/16,3.3,3141,2,2,1,181,148,1990,Melbourne,-37.8334,144.9867,Southern Metropolitan,14887
9235,South Yarra,1/14 Arthur St,3,t,1250000,S,Kay,7/11/16,3.3,3141,3,2,1,80,118,2003,Stonnington,-37.8416,144.9923,Southern Metropolitan,14887
9241,South Yarra,26 Fawkner St,2,h,1455000,S,Jellis,8/10/16,3.3,3141,2,1,0,225,94,1890,Stonnington,-37.8421,144.9876,Southern Metropolitan,14887
9264,South Yarra,18 Avoca St,4,h,5700000,S,Castran,12/11/16,3.3,3141,4,2,0,292,272,1880,Stonnington,-37.8377,144.9894,Southern Metropolitan,14887
9269,South Yarra,76 Leopold St,3,h,2695000,PI,Marshall,12/11/16,3.3,3141,3,2,1,215,200,1910,Melbourne,-37.8361,144.9831,Southern Metropolitan,14887
9293,South Yarra,9/18 Kensington Rd,2,u,693000,S,Biggin,15/10/2016,3.3,3141,2,1,1,2122,64,1960,Stonnington,-37.8383,145.0014,Southern Metropolitan,14887
9296,South Yarra,3 Palermo St,3,h,2285000,S,Kay,15/10/2016,3.3,3141,3,2,2,221,135,1890,Stonnington,-37.8416,144.9959,Southern Metropolitan,14887
9297,South Yarra,70 Park St,3,h,3000000,VB,Marshall,15/10/2016,3.3,3141,3,3,2,191,175,1890,Melbourne,-37.836,144.9824,Southern Metropolitan,14887
9299,South Yarra,608/20 Garden St,2,u,515000,VB,Harrington,16/04/2016,3.3,3141,2,1,1,734,65,2013,Stonnington,-37.8433,144.9962,Southern Metropolitan,14887
9312,South Yarra,49 Leopold St,4,h,2600000,PI,Williams,18/03/2017,3.3,3141,4,2,2,141,127,1880,Melbourne,-37.8366,144.9827,Southern Metropolitan,14887
9320,South Yarra,37 Grosvenor St,3,h,1810000,S,hockingstuart,18/06/2016,3.3,3141,3,1,1,211,18,1906,Stonnington,-37.8442,144.9928,Southern Metropolitan,14887
9327,South Yarra,3/38 Arnold St,1,u,540000,S,hockingstuart,22/05/2016,3.3,3141,1,1,1,480,53,1930,Melbourne,-37.8356,144.9767,Southern Metropolitan,14887
9329,South Yarra,29 Nicholson St,3,t,2010000,VB,Kay,22/05/2016,3.3,3141,3,2,1,163,207,2016,Stonnington,-37.8425,144.9877,Southern Metropolitan,14887
9330,South Yarra,62 Powell St,3,h,1945000,S,Jellis,22/05/2016,3.3,3141,3,2,1,194,148,1890,Stonnington,-37.8395,144.9898,Southern Metropolitan,14887
9331,South Yarra,21 Ralston St,3,h,906000,S,Jellis,22/05/2016,3.3,3141,3,1,0,154,88,1920,Stonnington,-37.8395,144.9868,Southern Metropolitan,14887
9335,South Yarra,39 Hardy St,2,h,1130000,S,hockingstuart,22/08/2016,3.3,3141,2,1,1,132,77,1900,Stonnington,-37.8446,144.9896,Southern Metropolitan,14887
9340,South Yarra,8 Cliff St,2,h,1100000,VB,Fletchers,24/09/2016,3.3,3141,2,1,0,176,81,1930,Stonnington,-37.8436,144.9925,Southern Metropolitan,14887
9343,South Yarra,9 Moore St,3,h,1125000,PI,Thomson,24/09/2016,3.3,3141,2,1,0,146,89,1910,Stonnington,-37.8454,144.9888,Southern Metropolitan,14887
9361,South Yarra,6 Cliff St,2,h,1200000,PI,Jellis,27/06/2016,3.3,3141,2,1,0,176,84,1940,Stonnington,-37.8436,144.9925,Southern Metropolitan,14887
9373,South Yarra,68 Oban St,3,h,2200000,PI,Jellis,27/11/2016,3.3,3141,3,2,0,358,238,1915,Stonnington,-37.8425,145.0031,Southern Metropolitan,14887
9374,South Yarra,366 Toorak Rd,3,h,1700000,S,Morrison,27/11/2016,3.3,3141,3,1,1,178,172,1894,Stonnington,-37.8404,145.0022,Southern Metropolitan,14887
9383,South Yarra,33 Tyrone St,2,h,1200000,S,LITTLE,28/05/2016,3.3,3141,2,1,1,163,86,1900,Stonnington,-37.8446,144.9879,Southern Metropolitan,14887
9384,South Yarra,36 Tyrone St,3,h,1540000,S,Marshall,28/05/2016,3.3,3141,3,2,1,149,140,2003,Stonnington,-37.8448,144.9882,Southern Metropolitan,14887
9391,South Yarra,12 Witchwood Cl,3,h,1700000,SP,Biggin,28/08/2016,3.3,3141,2,2,1,181,148,1990,Melbourne,-37.8334,144.9867,Southern Metropolitan,14887
9412,Southbank,308/18 Kavanagh St,1,u,455000,S,Greg,11/2/17,1.2,3006,1,1,0,760,70,2007,Melbourne,-37.8228,144.9661,Southern Metropolitan,8400
9428,Southbank,601/65 Coventry St,2,u,622500,S,hockingstuart,22/05/2016,1.2,3006,2,2,1,2955,67,2013,Melbourne,-37.8299,144.9679,Southern Metropolitan,8400
9437,Southbank,75/285 City Rd,1,u,370000,VB,Dingle,30/07/2016,1.2,3006,1,1,1,546,51,2000,Melbourne,-37.8274,144.9587,Southern Metropolitan,8400
9443,Spotswood,10 Raleigh St,3,h,855000,S,RT,6/8/16,7.7,3015,3,1,1,326,112,1991,Hobsons Bay,-37.831,144.8884,Western Metropolitan,1223
9444,Spotswood,6 McNeilage St,2,h,832500,S,Jas,7/5/16,7.7,3015,2,1,2,562,116,1950,Hobsons Bay,-37.8333,144.8868,Western Metropolitan,1223
9445,Spotswood,18 Vernier St,2,h,850000,S,Jas,8/10/16,7.7,3015,2,1,2,502,104,1950,Hobsons Bay,-37.8263,144.8775,Western Metropolitan,1223
9446,Spotswood,47 Hudsons Rd,3,h,1080000,S,Jas,10/9/16,7.7,3015,3,1,2,472,95,1950,Hobsons Bay,-37.8302,144.8885,Western Metropolitan,1223
9448,Spotswood,24 Forrest St,3,h,927000,S,Williams,12/6/16,7.7,3015,3,1,0,274,131,1910,Hobsons Bay,-37.8282,144.8856,Western Metropolitan,1223
9450,Spotswood,59 Hope St,4,h,850000,VB,RT,12/11/16,7.7,3015,4,2,0,389,158,1990,Hobsons Bay,-37.8284,144.8861,Western Metropolitan,1223
9451,Spotswood,13 Robb St,3,h,831000,S,Biggin,16/04/2016,7.7,3015,3,1,0,353,109,1890,Hobsons Bay,-37.8309,144.889,Western Metropolitan,1223
9453,Spotswood,118 The Avenue,4,t,840000,S,Jas,17/09/2016,7.7,3015,3,3,2,278,277,2015,Hobsons Bay,-37.8261,144.8718,Western Metropolitan,1223
9456,Spotswood,154 Hudsons Rd,4,h,1315000,S,hockingstuart,18/06/2016,7.7,3015,4,2,3,830,134,1920,Hobsons Bay,-37.829,144.8807,Western Metropolitan,1223
9458,Spotswood,6 Abbott St,4,h,1161000,S,Williams,25/02/2017,7.7,3015,4,2,5,742,236,2000,Hobsons Bay,-37.8248,144.8707,Western Metropolitan,1223
9460,Spotswood,27 The Avenue,3,h,1016000,SP,Jas,26/07/2016,7.7,3015,3,1,1,320,134,1940,Hobsons Bay,-37.8277,144.8841,Western Metropolitan,1223
9461,Spotswood,4 Steel St,3,h,690000,S,Biggin,27/06/2016,7.7,3015,4,1,2,532,518,1965,Hobsons Bay,-37.8248,144.8717,Western Metropolitan,1223
9462,Spotswood,66 The Avenue,3,h,1070000,S,Village,27/11/2016,7.7,3015,2,1,2,526,127,1950,Hobsons Bay,-37.8267,144.8779,Western Metropolitan,1223
9464,Spotswood,59 Hope St,4,h,871500,PI,Jas,28/08/2016,7.7,3015,4,2,0,389,158,1990,Hobsons Bay,-37.8284,144.8861,Western Metropolitan,1223
9489,St Kilda,10/352 Canterbury Rd,2,u,500000,S,Wilson,4/3/17,6.1,3182,2,1,1,5530,70,2001,Port Phillip,-37.859,144.9767,Southern Metropolitan,13240
9492,St Kilda,59 Clyde St,3,h,1891000,S,Marshall,4/3/17,6.1,3182,3,2,3,384,123,1915,Port Phillip,-37.8645,144.9805,Southern Metropolitan,13240
9494,St Kilda,48 Greeves St,4,h,2000000,VB,Gary,4/3/17,6.1,3182,4,2,3,420,160,1910,Port Phillip,-37.8667,144.9832,Southern Metropolitan,13240
9497,St Kilda,3/33 Robe St,3,u,1500000,VB,Castran,4/3/17,6.1,3182,3,1,1,1669,176,1920,Port Phillip,-37.8646,144.9786,Southern Metropolitan,13240
9499,St Kilda,7 Victoria St,3,h,2000000,VB,Wilson,4/3/17,6.1,3182,3,2,2,176,192,1880,Port Phillip,-37.8641,144.9739,Southern Metropolitan,13240
9500,St Kilda,1/62 Wellington St,1,u,500000,SP,Biggin,4/3/17,6.1,3182,1,1,1,2335,58,2002,Port Phillip,-37.8571,144.987,Southern Metropolitan,13240
9502,St Kilda,32/10 Acland St,1,u,380000,S,Whiting,4/6/16,6.1,3182,1,1,1,2879,49,1967,Port Phillip,-37.863,144.9747,Southern Metropolitan,13240
9520,St Kilda,2/19 Eildon Rd,3,t,1400000,VB,McGrath,7/11/16,6.1,3182,3,2,2,128,183,2002,Port Phillip,-37.8624,144.9768,Southern Metropolitan,13240
9530,St Kilda,3/19 Herbert St,2,u,520000,PI,Marshall,10/9/16,6.1,3182,2,1,1,1034,55,1950,Port Phillip,-37.8717,144.9829,Southern Metropolitan,13240
9535,St Kilda,18 Crimea St,5,h,5046000,S,Abercromby's,10/12/16,6.1,3182,5,3,3,1294,378,1884,Port Phillip,-37.8589,144.9883,Southern Metropolitan,13240
9537,St Kilda,77 Spenser St,3,h,1900000,S,Pride,10/12/16,6.1,3182,3,2,2,289,122,1979,Port Phillip,-37.8726,144.9782,Southern Metropolitan,13240
9547,St Kilda,201/63 Acland St,1,u,430000,SP,Buxton,12/11/16,6.1,3182,1,1,1,1409,63,2000,Port Phillip,-37.8661,144.9772,Southern Metropolitan,13240
9550,St Kilda,12 Gurner St,4,h,1900000,PI,Wilson,12/11/16,6.1,3182,4,2,2,507,202,1890,Port Phillip,-37.8616,144.9807,Southern Metropolitan,13240
9564,St Kilda,52 Blanche St,3,h,920000,PI,Marshall,15/10/2016,6.1,3182,3,2,2,124,134,2000,Port Phillip,-37.8656,144.9851,Southern Metropolitan,13240
9567,St Kilda,3/38 Barkly St,2,u,503500,S,Buxton,16/04/2016,6.1,3182,2,1,1,683,72,1940,Port Phillip,-37.8594,144.9828,Southern Metropolitan,13240
9576,St Kilda,8/98 Barkly St,3,h,1120000,PI,hockingstuart,18/03/2017,6.1,3182,3,2,2,1039,133,2006,Port Phillip,-37.8638,144.982,Southern Metropolitan,13240
9589,St Kilda,27 Bath St,2,h,875000,S,hockingstuart,18/06/2016,6.1,3182,2,1,1,123,68,1900,Port Phillip,-37.8641,144.9866,Southern Metropolitan,13240
9590,St Kilda,2/16 Charnwood Rd,2,u,650000,PI,Charlton,18/06/2016,6.1,3182,2,1,0,822,70,1930,Port Phillip,-37.8585,144.9854,Southern Metropolitan,13240
9602,St Kilda,10 Charlotte Pl,5,h,4400000,S,Marshall,19/11/2016,6.1,3182,5,4,4,657,312,1900,Port Phillip,-37.8582,144.9913,Southern Metropolitan,13240
9617,St Kilda,64 Havelock St,2,h,1200500,S,hockingstuart,24/09/2016,6.1,3182,2,1,0,201,83,1915,Port Phillip,-37.8654,144.9809,Southern Metropolitan,13240
9622,St Kilda,21/7 Alfred Sq,2,u,520000,PI,Whiting,25/02/2017,6.1,3182,2,1,1,1235,63,1980,Port Phillip,-37.8645,144.9749,Southern Metropolitan,13240
9631,St Kilda,66 Clyde St,2,h,1365000,S,Whiting,26/07/2016,6.1,3182,2,1,1,361,123,1910,Port Phillip,-37.8646,144.98,Southern Metropolitan,13240
9634,St Kilda,30 Odessa St,4,h,1950000,S,hockingstuart,26/07/2016,6.1,3182,4,2,2,436,211,1880,Port Phillip,-37.8629,144.9887,Southern Metropolitan,13240
9638,St Kilda,35 Pakington St,3,h,1678000,S,McGrath,27/06/2016,6.1,3182,3,2,2,361,171,2016,Port Phillip,-37.8663,144.9882,Southern Metropolitan,13240
9640,St Kilda,1/45 Robe St,2,u,400000,VB,McGrath,27/06/2016,6.1,3182,2,1,1,797,67,1970,Port Phillip,-37.8642,144.9793,Southern Metropolitan,13240
9655,St Kilda,5/69 Wellington St,2,u,580000,PI,McGrath,27/11/2016,6.1,3182,2,1,1,1155,102,1995,Port Phillip,-37.8568,144.9873,Southern Metropolitan,13240
9661,St Kilda,1/5 Marine Pde,2,u,1100000,S,Greg,28/05/2016,6.1,3182,2,1,2,1458,141,1920,Port Phillip,-37.8695,144.9763,Southern Metropolitan,13240
9667,St Kilda,26/11 Marine Pde,1,u,354000,S,McGrath,30/07/2016,6.1,3182,1,1,1,1659,46,1960,Port Phillip,-37.8699,144.9764,Southern Metropolitan,13240
9684,Strathmore,56 Hillsyde Pde,3,h,1025000,S,Considine,7/5/16,9.7,3041,3,2,1,654,180,1950,Moonee Valley,-37.7369,144.9251,Western Metropolitan,3284
9686,Strathmore,8 Upland Rd,3,h,1430000,S,Paul,7/5/16,9.7,3041,3,1,1,694,158,1950,Moonee Valley,-37.7411,144.9262,Western Metropolitan,3284
9688,Strathmore,27 Henshall Rd,3,h,1330000,S,Considine,10/9/16,9.7,3041,3,2,1,606,159,1950,Moonee Valley,-37.7378,144.9168,Western Metropolitan,3284
9697,Strathmore,34 Woodland St,3,h,1194000,S,Nelson,11/2/17,9.7,3041,3,1,2,650,143,1930,Moonee Valley,-37.7436,144.9308,Western Metropolitan,3284
9698,Strathmore,25 Hayes Rd,5,h,1440000,S,Barry,12/6/16,9.7,3041,5,3,2,617,347,1990,Moonee Valley,-37.7386,144.917,Western Metropolitan,3284
9706,Strathmore,196a Mascoma St,3,h,850000,VB,Considine,15/10/2016,9.7,3041,3,3,3,250,207,2016,Moonee Valley,-37.7189,144.9036,Western Metropolitan,3284
9707,Strathmore,61 Mascoma St,3,h,1150000,SP,Nelson,15/10/2016,9.7,3041,3,2,3,696,164,1950,Moonee Valley,-37.7261,144.9171,Western Metropolitan,3284
9709,Strathmore,13 Woolart St,3,h,910000,S,Nelson,15/10/2016,9.7,3041,3,1,2,692,117,1960,Moonee Valley,-37.7217,144.9074,Western Metropolitan,3284
9710,Strathmore,43 Henshall Rd,4,h,1430000,S,Nelson,16/04/2016,9.7,3041,4,2,1,607,224,1990,Moonee Valley,-37.7376,144.9154,Western Metropolitan,3284
9713,Strathmore,2/13 Fenacre St,3,h,622500,S,Barry,16/07/2016,9.7,3041,3,2,2,254,127,2004,Moonee Valley,-37.7302,144.9167,Western Metropolitan,3284
9714,Strathmore,124 Woodland St,3,h,1500000,SP,McDonald,17/09/2016,9.7,3041,3,2,4,722,196,1950,Moonee Valley,-37.7427,144.9226,Western Metropolitan,3284
9716,Strathmore,45 Loeman St,4,h,1280000,VB,Brad,18/03/2017,9.7,3041,4,2,2,689,25,1977,Moonee Valley,-37.7345,144.9196,Western Metropolitan,3284
9717,Strathmore,44 Lind St,5,h,1485000,S,Rendina,18/06/2016,9.7,3041,5,2,4,502,365,2012,Moonee Valley,-37.7317,144.9177,Western Metropolitan,3284
9718,Strathmore,9 Marks St,3,h,1080000,S,Considine,18/06/2016,9.7,3041,3,2,2,211,46,1980,Moonee Valley,-37.734,144.9145,Western Metropolitan,3284
9719,Strathmore,6 Prefect St,4,h,1715000,S,Paul,18/06/2016,9.7,3041,4,3,2,650,348,2001,Moonee Valley,-37.7363,144.9208,Western Metropolitan,3284
9723,Strathmore,222 Woodland St,5,h,2650000,S,Brad,19/11/2016,9.7,3041,5,3,2,755,365,2009,Moonee Valley,-37.7417,144.9133,Western Metropolitan,3284
9724,Strathmore,138a Lebanon St,2,h,630000,S,Barry,22/05/2016,9.7,3041,3,2,1,378,106,2000,Moonee Valley,-37.7245,144.9097,Western Metropolitan,3284
9740,Strathmore,34 Glenview Rd,4,h,1370000,S,Nelson,28/05/2016,9.7,3041,4,2,2,908,208,1960,Moonee Valley,-37.735,144.9203,Western Metropolitan,3284
9752,Sunshine,142 Cornwall Rd,3,h,800000,PI,Barry,3/12/16,12.6,3020,3,2,1,655,165,1940,Brimbank,-37.7809,144.8424,Western Metropolitan,3755
9753,Sunshine,32 Matthews St,3,h,950000,S,GL,3/12/16,12.6,3020,3,1,1,700,145,1960,Brimbank,-37.7933,144.8411,Western Metropolitan,3755
9758,Sunshine,7 High St,3,h,780000,S,Sweeney,4/3/17,12.6,3020,3,1,0,486,115,1943,Brimbank,-37.7886,144.8438,Western Metropolitan,3755
9760,Sunshine,24 Martin St,4,h,1350500,S,Bells,4/3/17,12.6,3020,4,1,0,726,181,1940,Brimbank,-37.7864,144.8353,Western Metropolitan,3755
9761,Sunshine,15 Mellor St,3,h,745000,SP,Biggin,4/3/17,12.6,3020,3,1,2,518,122,1960,Brimbank,-37.7802,144.8374,Western Metropolitan,3755
9767,Sunshine,17 Snowden St,3,h,657500,S,Barry,7/5/16,12.6,3020,3,1,1,513,116,1955,Brimbank,-37.7796,144.8372,Western Metropolitan,3755
9768,Sunshine,1 Walter St,4,h,1030000,S,Sweeney,7/5/16,12.6,3020,4,2,2,803,309,2002,Brimbank,-37.7932,144.8434,Western Metropolitan,3755
9769,Sunshine,3/17 Anderson Rd,3,h,460000,PI,Douglas,7/11/16,12.6,3020,3,2,1,119,110,2009,Brimbank,-37.7939,144.8261,Western Metropolitan,3755
9778,Sunshine,1/164 Cornwall Rd,3,u,490000,S,Barry,10/12/16,12.6,3020,3,1,1,301,115,1950,Brimbank,-37.7793,144.8427,Western Metropolitan,3755
9780,Sunshine,34 Ernest St,4,h,890000,S,Sweeney,12/11/16,12.6,3020,4,1,2,668,127,1930,Brimbank,-37.7796,144.845,Western Metropolitan,3755
9783,Sunshine,4/162 Cornwall Rd,2,h,425000,S,Barry,14/05/2016,12.6,3020,2,1,1,225,80,2000,Brimbank,-37.7795,144.8432,Western Metropolitan,3755
9784,Sunshine,3 Lynch St,3,h,715000,S,YPA,14/05/2016,12.6,3020,3,1,2,558,104,1925,Brimbank,-37.7807,144.8341,Western Metropolitan,3755
9786,Sunshine,3 Donald St,3,h,816000,S,Douglas,15/10/2016,12.6,3020,3,1,1,511,113,1958,Brimbank,-37.7906,144.8387,Western Metropolitan,3755
9789,Sunshine,1/10 Norma St,2,u,425500,SP,Barry,15/10/2016,12.6,3020,2,1,0,153,72,1970,Brimbank,-37.7912,144.8439,Western Metropolitan,3755
9793,Sunshine,1 Boreham St,3,h,610000,S,Barry,16/04/2016,12.6,3020,3,1,0,705,118,1965,Brimbank,-37.8005,144.822,Western Metropolitan,3755
9803,Sunshine,29 Benjamin St,2,h,611000,S,Bells,17/09/2016,12.6,3020,2,1,2,204,77,1925,Brimbank,-37.7938,144.8321,Western Metropolitan,3755
9808,Sunshine,94 Couch St,4,h,670000,PI,Douglas,18/03/2017,12.6,3020,4,1,1,603,106,1950,Brimbank,-37.7945,144.8267,Western Metropolitan,3755
9816,Sunshine,13 Cannon St,3,h,605000,S,Barry,19/11/2016,12.6,3020,3,1,1,462,104,1956,Brimbank,-37.7969,144.8276,Western Metropolitan,3755
9817,Sunshine,16 Couch St,4,h,930000,S,Jas,19/11/2016,12.6,3020,4,2,2,504,174,2005,Brimbank,-37.7952,144.8325,Western Metropolitan,3755
9820,Sunshine,8 Station Pl,3,h,880000,S,Bells,19/11/2016,12.6,3020,3,1,3,463,107,1925,Brimbank,-37.7905,144.8359,Western Metropolitan,3755
9821,Sunshine,104 Wright St,3,h,570000,PI,Douglas,19/11/2016,12.6,3020,3,1,2,535,105,1970,Brimbank,-37.7956,144.8292,Western Metropolitan,3755
9822,Sunshine,18 Barnett St,3,h,700000,SP,Bells,22/05/2016,12.6,3020,3,1,4,505,75,1960,Brimbank,-37.7817,144.8448,Western Metropolitan,3755
9826,Sunshine,5 Lorenz St,3,h,625000,S,Douglas,22/08/2016,12.6,3020,3,1,1,459,120,1955,Brimbank,-37.7813,144.8394,Western Metropolitan,3755
9827,Sunshine,9 Una St,3,h,695000,S,Sweeney,22/08/2016,12.6,3020,3,1,1,616,117,1930,Brimbank,-37.7842,144.843,Western Metropolitan,3755
9831,Sunshine,132 Cornwall Rd,3,h,910000,PI,Douglas,25/02/2017,12.6,3020,3,2,2,653,650,1992,Brimbank,-37.7815,144.8423,Western Metropolitan,3755
9833,Sunshine,107 Wright St,3,h,607000,S,YPA,25/02/2017,12.6,3020,3,1,2,563,122,1965,Brimbank,-37.7956,144.826,Western Metropolitan,3755
9834,Sunshine,11 Brislington St,3,h,679500,S,Sweeney,26/07/2016,12.6,3020,3,1,1,351,125,2002,Brimbank,-37.7843,144.8392,Western Metropolitan,3755
9836,Sunshine,3/2 Cooper St,3,t,500000,PI,Douglas,27/06/2016,12.6,3020,3,1,2,224,159,1985,Brimbank,-37.7863,144.8401,Western Metropolitan,3755
9837,Sunshine,68 Chapman St,4,h,895000,S,Jas,27/11/2016,12.6,3020,4,2,3,430,144,1945,Brimbank,-37.7939,144.8283,Western Metropolitan,3755
9840,Sunshine,2/7 Mayo St,2,t,410000,SP,Barry,28/05/2016,12.6,3020,2,2,2,204,85,2008,Brimbank,-37.7982,144.823,Western Metropolitan,3755
9843,Sunshine,6 Taunton St,3,h,635000,PI,Douglas,28/05/2016,12.6,3020,4,1,1,631,107,1960,Brimbank,-37.7836,144.8408,Western Metropolitan,3755
9858,Sunshine North,13 Surman Ct,3,h,480000,PI,Douglas,6/8/16,13.3,3020,3,1,2,546,99,1978,Brimbank,-37.7555,144.8295,Western Metropolitan,4217
9859,Sunshine North,38 Warwick Rd,2,h,435000,S,Douglas,6/8/16,13.3,3020,2,1,4,343,81,1960,Brimbank,-37.7689,144.8402,Western Metropolitan,4217
9862,Sunshine North,119 Warwick Rd,2,h,560000,S,Barry,7/5/16,13.3,3020,2,1,1,615,106,1970,Brimbank,-37.7683,144.8316,Western Metropolitan,4217
9864,Sunshine North,25 Lodden St,4,h,626800,S,Douglas,7/11/16,13.3,3020,4,1,2,581,130,1950,Brimbank,-37.7712,144.8336,Western Metropolitan,4217
9866,Sunshine North,61 Meadowbank Dr,3,h,571500,S,Barry,8/10/16,13.3,3020,3,2,2,528,137,1990,Brimbank,-37.758,144.8256,Western Metropolitan,4217
9873,Sunshine North,49 Metherall St,5,h,605000,S,Barry,10/12/16,13.3,3020,5,2,2,661,133,1960,Brimbank,-37.7651,144.8241,Western Metropolitan,4217
9877,Sunshine North,43 Cary St,3,h,600000,VB,Stockdale,12/11/16,13.3,3020,3,1,2,751,112,1960,Brimbank,-37.7692,144.8246,Western Metropolitan,4217
9878,Sunshine North,8 Hassett St,3,h,650000,SP,GL,12/11/16,13.3,3020,3,1,0,598,112,1950,Brimbank,-37.7705,144.8307,Western Metropolitan,4217
9881,Sunshine North,18 Simpson St,4,h,736000,S,Barry,12/11/16,13.3,3020,4,1,2,615,133,1955,Brimbank,-37.7675,144.8414,Western Metropolitan,4217
9887,Sunshine North,6 Gresford St,4,h,735000,S,Douglas,16/04/2016,13.3,3020,4,2,5,635,201,1975,Brimbank,-37.7693,144.8351,Western Metropolitan,4217
9895,Sunshine North,5 Braim St,3,h,700000,S,Barry,18/06/2016,13.3,3020,3,1,2,538,111,1975,Brimbank,-37.7704,144.8384,Western Metropolitan,4217
9899,Sunshine North,88 Westmoreland Rd,2,h,1190000,S,YPA,19/11/2016,13.3,3020,2,1,6,968,141,1950,Brimbank,-37.7698,144.8362,Western Metropolitan,4217
9901,Sunshine North,35 Furlong Rd,3,h,591000,S,First,22/05/2016,13.3,3020,3,1,2,673,673,1970,Brimbank,-37.7623,144.8272,Western Metropolitan,4217
9902,Sunshine North,6 Rosewall St,3,h,665000,S,Stockdale,22/05/2016,13.3,3020,3,1,2,707,101,1940,Brimbank,-37.7676,144.8339,Western Metropolitan,4217
9911,Sunshine North,4a Downing St,3,h,620000,SP,Douglas,26/07/2016,13.3,3020,3,3,2,221,155,2011,Brimbank,-37.7708,144.8401,Western Metropolitan,4217
9913,Sunshine North,114 Warwick Rd,3,h,503000,S,Douglas,27/06/2016,13.3,3020,3,1,1,251,90,1945,Brimbank,-37.7682,144.8335,Western Metropolitan,4217
9917,Sunshine North,17 Taniyha Pl,5,h,1000000,S,Douglas,28/05/2016,13.3,3020,4,2,1,786,295,1999,Brimbank,-37.7743,144.8425,Western Metropolitan,4217
9927,Sunshine West,147 Hilma St,3,h,560000,S,Barry,3/12/16,13.5,3020,3,1,3,582,115,1970,Brimbank,-37.7906,144.7929,Western Metropolitan,6763
9929,Sunshine West,66 Nicholson Pde,3,h,615000,S,Melbourne,3/12/16,13.5,3020,3,2,6,667,152,1975,Brimbank,-37.7969,144.8086,Western Metropolitan,6763
9932,Sunshine West,87 Nicholson Pde,3,t,450000,SP,Douglas,4/6/16,13.5,3020,3,3,1,344,178,2004,Brimbank,-37.7967,144.8083,Western Metropolitan,6763
9939,Sunshine West,11 Links St,3,h,680000,S,Douglas,7/11/16,13.5,3020,3,1,2,726,144,1966,Brimbank,-37.7905,144.8073,Western Metropolitan,6763
9942,Sunshine West,30 Hall St,3,h,620000,S,Bells,8/10/16,13.5,3020,3,1,4,699,125,1960,Brimbank,-37.7905,144.8033,Western Metropolitan,6763
9944,Sunshine West,2/10 Carter St,3,u,545000,S,Barry,10/12/16,13.5,3020,3,2,1,240,131,2011,Brimbank,-37.7891,144.8152,Western Metropolitan,6763
9945,Sunshine West,4 Clematis Pl,5,h,621000,SP,Barry,10/12/16,13.5,3020,5,2,2,596,176,1997,Brimbank,-37.7981,144.7936,Western Metropolitan,6763
9950,Sunshine West,27 Davey St,3,h,687000,S,Sweeney,12/11/16,13.5,3020,3,1,1,695,102,1950,Brimbank,-37.7853,144.8114,Western Metropolitan,6763
9952,Sunshine West,14 Myers St,3,h,485000,S,hockingstuart,12/11/16,13.5,3020,3,4,2,482,166,1955,Brimbank,-37.7904,144.8133,Western Metropolitan,6763
9954,Sunshine West,64 Links St,4,h,510000,SP,Barry,13/08/2016,13.5,3020,4,1,1,672,151,1970,Brimbank,-37.7871,144.8083,Western Metropolitan,6763
9956,Sunshine West,16 Mapledene Ct,3,h,500000,SP,Barry,14/05/2016,13.5,3020,3,1,1,541,133,1970,Brimbank,-37.7928,144.804,Western Metropolitan,6763
9960,Sunshine West,17 Fern St,3,h,480000,PI,Barry,16/04/2016,13.5,3020,3,1,2,696,148,1960,Brimbank,-37.7836,144.7988,Western Metropolitan,6763
9967,Sunshine West,18 Raymond St,4,h,621000,S,Barry,16/07/2016,13.5,3020,3,1,1,700,130,1950,Brimbank,-37.7902,144.8102,Western Metropolitan,6763
9971,Sunshine West,50 Killara St,3,h,690000,S,Burnham,18/03/2017,13.5,3020,3,1,0,540,121,1967,Brimbank,-37.789,144.8195,Western Metropolitan,6763
